P;Diapason;Timestamp;Date;Start Time;Legth;L_verb;Buy Type;Sell Type;Start;End;Prc (Loss);Alg_Prc;Diapason;# max;Prc Max;# min;Prc Min;Prc30;Prc80;Prc130;Prc180;Prc360;Prc720;Der30;Der80;Der130;Der180;Der360;Der720;NonD30;NonD80;NonD130;NonD180;NonD360;NonD720;Plus30;Plus80;Plus130;Plus180;Plus360;Plus720;Weight
S;890-1471;1684194354;16.05.23;02:45:54;581;1:48:9;buy_ascent;sell_ch_deriv_N1;98,72;100,62;+1,92;+2,64;890-3316;1491;3,98;1119;-2,39;0,50;0,97;1,08;1,16;1,69;0,99;0,10;0,07;0,05;0,04;0,03;0,01;94,44;89,74;87,80;90,24;95,56;82,98;66,67;68,63;70,59;72,55;84,31;76,47;54,33
L;3317-8650;1684221557;16.05.23;10:19:17;5333;16:40:43;buy_ascent;final_sell;100,62;101,29;+0,66;+1,37;3317-8649;8617;3,61;5516;-2,20;0,62;0,88;1,01;1,06;1,34;0,44;0,12;0,07;0,05;0,04;0,02;0,00;95,83;83,78;81,58;86,84;92,68;57,78;45,10;60,78;60,78;64,71;74,51;50,98;40,73
L;1335-8672;1684285768;17.05.23;04:09:28;7337;22:50:26;buy_ascent;final_sell;100,62;106,59;+5,93;+6,67;1335-8671;7323;4,45;5668;-6,36;0,80;1,62;2,16;2,63;2,05;2,31;0,16;0,12;0,10;0,09;0,03;0,02;81,58;95,12;97,62;97,56;88,64;90,70;60,78;76,47;80,39;78,43;76,47;76,47;54,51
S;6647-7995;1684431651;18.05.23;20:40:51;1348;4:10:40;buy_ascent;sell_rules;100,62;99,58;-1,03;-0,33;6647-7995;6742;4,34;7995;-0,55;1,19;1,27;1,27;1,36;1,13;1,51;0,24;0,10;0,06;0,05;0,02;0,01;100,00;97,37;90,00;92,50;85,37;88,64;70,59;72,55;70,59;72,55;68,63;76,47;36,68
L;197-8698;1684445807;19.05.23;00:36:47;8501;2:23:7;buy_ascent;final_sell;100,62;102,08;+1,45;+2,17;197-8697;5920;4,68;1819;-0,89;0,53;0,97;1,17;1,15;1,56;2,72;0,11;0,07;0,05;0,04;0,03;0,02;87,80;95,45;95,45;93,18;93,18;95,92;70,59;82,35;82,35;80,39;80,39;92,16;41,37
S;1200-6669;1684543385;20.05.23;03:43:05;5469;17:7:4;buy_ascent;sell_rules;100,62;96,73;-3,87;-3,19;1200-7068;1923;0,86;6727;-3,39;0,57;0,97;1,35;1,48;1,74;1,69;0,11;0,07;0,06;0,05;0,03;0,01;90,00;94,12;90,00;95,24;88,64;86,67;52,94;62,75;70,59;78,43;76,47;76,47;52,68
S;7069-8647;1684609514;20.05.23;22:05:14;1578;4:54:42;buy_ascent;final_sell;96,73;95,69;-1,07;-0,38;7069-8646;7083;0,09;8575;-3,47;0,96;1,12;1,09;1,10;1,13;-0,72;0,19;0,08;0,05;0,04;0,02;-0,01;93,75;88,89;88,89;88,57;82,93;39,13;58,82;62,75;62,75;60,78;66,67;35,29;38,63
S;4429-8649;1684666252;21.05.23;13:50:52;4220;13:9:7;buy_ascent;final_sell;96,73;99,72;+3,09;+3,82;4429-8648;8038;6,75;5693;-0,90;0,64;0,89;0,95;0,96;1,23;0,91;0,13;0,07;0,04;0,03;0,02;0,01;93,75;89,74;92,68;92,68;90,48;78,26;53,57;62,50;67,86;67,86;67,86;64,29;51,90
S;31-8610;1684703154;22.05.23;00:05:54;8579;2:54:2;buy_ascent;final_sell;96,73;94,60;-2,21;-1,52;31-8609;1212;3,26;5396;-3,96;0,57;1,06;1,09;1,18;1,00;0,58;0,11;0,08;0,05;0,04;0,02;0,00;87,10;90,91;90,91;94,12;86,11;72,50;48,21;53,57;53,57;57,14;55,36;51,79;39,24
L;1475-8550;1684805683;23.05.23;04:34:43;7075;22:25:17;buy_ascent;final_sell;96,73;98,55;+1,88;+2,59;1475-8549;2277;5,31;6963;-1,90;1,96;2,37;2,44;2,52;1,83;1,42;0,39;0,18;0,11;0,08;0,03;0,01;97,73;97,78;95,83;92,16;86,79;77,78;76,79;78,57;82,14;83,93;82,14;75,00;37,46
S;2050-2143;1684898696;24.05.23;06:24:56;93;0:17:21;buy_ascent;sell_ch_deriv_N1;96,73;100,22;+3,61;+4,34;2050-5312;5312;13,66;2050;0,00;0,38;0,78;0,97;0,85;1,07;0,96;0,08;0,06;0,04;0,03;0,02;0,01;85,19;96,88;93,75;90,91;91,18;81,82;41,07;55,36;53,57;53,57;55,36;64,29;42,23
S;5313-8483;1684936248;24.05.23;16:50:48;3170;10:9:2;buy_ascent;final_sell;100,22;99,68;-0,54;+0,16;5313-8482;5333;4,60;7591;-0,45;1,03;1,20;1,65;1,95;2,00;2,06;0,21;0,09;0,08;0,07;0,03;0,02;97,56;86,67;91,49;93,75;93,75;90,20;71,43;69,64;76,79;80,36;80,36;82,14;43,13
S;1412-1441;1684977988;25.05.23;04:26:28;29;0:5:27;buy_ascent;sell_ch_deriv_N2;100,22;100,40;+0,18;+0,89;1412-4800;1427;1,92;2929;-8,87;1,82;2,18;2,19;2,60;3,63;4,19;0,36;0,16;0,10;0,09;0,06;0,03;100,00;97,78;97,78;100,00;100,00;97,92;78,57;78,57;78,57;80,36;83,93;83,93;54,87
L;4801-8614;1685016286;25.05.23;15:04:46;3813;11:55:13;buy_ascent;final_sell;100,40;100,43;+0,03;+0,73;4801-8613;5020;1,59;6005;-3,23;0,70;0,98;1,21;1,06;0,90;0,92;0,14;0,07;0,06;0,04;0,02;0,01;96,77;100,00;97,14;84,62;80,49;78,57;53,57;60,71;60,71;58,93;58,93;58,93;42,36
L;6840-8613;1685298403;28.05.23;21:26:43;1773;5:33:15;buy_ascent;final_sell;100,40;103,98;+3,56;+4,29;6840-8612;8113;6,04;7357;-1,10;0,89;1,22;1,27;1,30;1,93;2,08;0,18;0,09;0,06;0,04;0,03;0,02;92,11;97,62;93,33;89,36;94,00;85,19;62,50;73,21;75,00;75,00;83,93;82,14;45,99
L;331-8621;1685311352;29.05.23;01:02:32;8290;1:57:24;buy_ascent;final_sell;100,40;97,47;-2,92;-2,24;331-8620;457;2,19;6415;-7,78;1,19;1,59;2,28;2,38;2,67;2,55;0,24;0,12;0,11;0,08;0,04;0,02;95,83;97,96;94,00;94,12;98,08;92,59;82,14;85,71;83,93;85,71;91,07;89,29;62,86
S;1159-8639;1685407003;30.05.23;03:36:43;7480;23:23:16;buy_ascent;final_sell;100,40;97,82;-2,57;-1,88;1159-8638;6184;3,59;4438;-2,86;0,96;1,08;1,14;1,18;1,53;0,59;0,19;0,08;0,05;0,04;0,03;0,00;93,55;94,12;89,47;87,50;86,05;56,86;51,79;57,14;60,71;62,50;66,07;51,79;36,00
S;1663-8635;1685499050;31.05.23;05:10:50;6972;21:49:5;buy_ascent;final_sell;100,40;105,87;+5,45;+6,19;1663-8634;5537;10,66;2252;-2,22;1,24;2,04;2,17;2,27;1,65;0,56;0,25;0,15;0,10;0,08;0,03;0,00;97,50;97,78;95,56;91,67;83,33;72,00;69,64;78,57;76,79;78,57;71,43;64,29;36,50
S;7202-8631;1685647940;01.06.23;22:32:20;1429;4:27:36;buy_ascent;final_sell;100,40;100,78;+0,38;+1,08;7202-8630;8483;2,66;7396;-0,80;0,67;0,86;0,92;0,91;1,16;1,08;0,13;0,06;0,04;0,03;0,02;0,01;86,11;89,47;87,18;87,80;83,33;67,39;55,36;60,71;60,71;64,29;62,50;55,36;39,74
