P;Diapason;Timestamp;Date;Start Time;Legth;L_verb;Buy Type;Sell Type;Start;End;Prc (Loss);Alg_Prc;Diapason;# max;Prc Max;# min;Prc Min;Prc30;Prc80;Prc130;Prc180;Prc360;Prc720;Der30;Der80;Der130;Der180;Der360;Der720;NonD30;NonD80;NonD130;NonD180;NonD360;NonD720;Plus30;Plus80;Plus130;Plus180;Plus360;Plus720;Weight
S;7173-7198;1683919614;12.05.23;22:26:54;25;0:4:40;buy_ascent;sell_ch_deriv_N1;111,53;110,65;-0,79;-0,09;7173-7349;7184;2,72;7331;-5,32;2,36;2,43;2,61;2,82;3,26;2,38;0,47;0,18;0,12;0,09;0,05;0,02;97,62;97,67;95,56;95,65;100,00;93,88;80,39;82,35;84,31;86,27;96,08;90,20;36,46
L;7350-7358;1683921598;12.05.23;22:59:58;8;0:1:30;buy_ascent;sell_ch_deriv_N2;110,65;109,54;-1,00;-0,31;7350-7671;7480;1,19;7598;-0,17;3,80;4,28;5,81;6,37;2,43;2,17;0,76;0,32;0,27;0,21;0,04;0,02;100,00;100,00;98,04;100,00;80,39;74,51;92,16;96,08;98,04;100,00;80,39;74,51;43,21
L;62-614;1683925899;13.05.23;00:11:39;552;1:42:51;buy_ascent;sell_step_base;110,65;110,20;-0,40;+0,30;62-4160;973;2,85;2942;-0,20;0,97;1,87;2,36;2,25;3,19;6,40;0,19;0,14;0,11;0,07;0,05;0,05;95,24;92,00;92,00;90,00;96,00;98,04;78,43;90,20;90,20;88,24;94,12;98,04;39,57
L;4161-7055;1683971641;13.05.23;12:54:01;2894;9:3:41;buy_ascent;sell_step_long;110,20;106,27;-3,57;-2,90;4161-7714;4208;0,11;5635;-4,76;0,62;1,03;1,39;1,51;2,06;2,46;0,12;0,08;0,06;0,05;0,03;0,02;84,62;85,29;91,43;97,22;97,67;93,48;43,14;56,86;62,75;68,63;82,35;84,31;59,67
L;5856-6229;1684076796;14.05.23;18:06:36;373;1:9:47;buy_ascent;sell_step_base;110,20;109,73;-0,43;+0,27;5856-6902;6195;1,61;6875;-2,94;0,81;1,37;1,62;1,76;1,83;3,78;0,16;0,10;0,07;0,06;0,03;0,03;83,33;80,43;82,98;82,98;87,23;95,92;68,63;72,55;76,47;76,47;80,39;92,16;60,34
S;6903-7976;1684088547;14.05.23;21:22:27;1073;3:20:41;buy_ascent;sell_step_base;109,73;109,23;-0,45;+0,25;6903-7976;7310;2,00;7004;-0,06;0,85;1,05;1,14;1,24;1,43;3,34;0,17;0,08;0,05;0,04;0,02;0,03;92,11;94,74;94,74;97,44;88,10;89,80;68,63;70,59;70,59;74,51;72,55;86,27;48,28
L;1434-1458;1684113975;15.05.23;04:26:15;24;0:4:25;buy_ascent;sell_ch_deriv_N2;109,73;108,75;-0,89;-0,20;1434-3068;3067;4,57;1453;-0,21;2,52;3,02;3,43;3,61;1,27;0,41;0,50;0,23;0,16;0,12;0,02;0,00;100,00;100,00;100,00;98,00;80,39;66,67;90,20;94,12;98,04;96,08;80,39;66,67;55,39
L;3069-4708;1684132093;15.05.23;09:28:13;1639;5:6:14;buy_ascent;sell_step_ball;108,75;108,85;+0,09;+0,80;3069-5539;4212;2,01;5539;-2,37;0,96;1,39;1,26;1,34;1,35;1,65;0,19;0,10;0,06;0,04;0,02;0,01;97,30;93,33;80,00;89,13;80,85;79,59;70,59;82,35;70,59;80,39;74,51;76,47;36,45
S;5540-8674;1684159869;15.05.23;17:11:09;3134;9:48:43;buy_ascent;final_sell;108,85;108,60;-0,23;+0,47;5540-8673;8598;2,72;6452;-4,01;0,80;1,24;1,76;1,58;1,40;1,62;0,16;0,09;0,08;0,05;0,02;0,01;93,94;95,12;93,02;88,64;83,67;84,00;60,78;76,47;78,43;76,47;80,39;82,35;36,23
S;890-1471;1684194354;16.05.23;02:45:54;581;1:48:9;buy_ascent;sell_ch_deriv_N1;108,85;110,95;+1,92;+2,64;890-3316;1491;3,98;1119;-2,39;0,50;0,97;1,08;1,16;1,69;0,99;0,10;0,07;0,05;0,04;0,03;0,01;94,44;89,74;87,80;90,24;95,56;82,98;66,67;68,63;70,59;72,55;84,31;76,47;54,33
L;3317-4283;1684221557;16.05.23;10:19:17;966;3:0:51;buy_ascent;sell_step_base;110,95;111,02;+0,07;+0,77;3317-7685;3675;1,91;5516;-2,20;0,62;0,88;1,01;1,06;1,34;0,44;0,12;0,07;0,05;0,04;0,02;0,00;95,83;83,78;81,58;86,84;92,68;57,78;45,10;60,78;60,78;64,71;74,51;50,98;40,73
L;1335-1914;1684285768;17.05.23;04:09:28;579;1:47:48;buy_ascent;sell_step_base;110,95;112,74;+1,61;+2,33;1335-3460;2215;1,82;3460;-2,20;0,80;1,62;2,16;2,63;2,05;2,31;0,16;0,12;0,10;0,09;0,03;0,02;81,58;95,12;97,62;97,56;88,64;90,70;60,78;76,47;80,39;78,43;76,47;76,47;54,51
S;3461-3888;1684309561;17.05.23;10:46:01;427;1:19:46;buy_ascent;sell_step_base;112,74;112,81;+0,07;+0,77;3461-5487;3573;2,82;3983;-4,26;0,70;1,21;1,41;1,41;1,08;2,88;0,14;0,09;0,07;0,05;0,02;0,02;90,32;93,94;86,11;83,78;82,05;97,73;54,90;60,78;60,78;60,78;62,75;84,31;39,86
S;5488-5691;1684332291;17.05.23;17:04:51;203;0:38:2;buy_ascent;sell_step_base;112,81;112,27;-0,48;+0,22;5488-6683;5666;1,91;6683;-3,65;0,83;1,82;1,82;1,95;0,64;-0,38;0,17;0,14;0,08;0,07;0,01;-0,00;96,30;92,11;92,31;90,00;80,95;48,89;50,98;68,63;70,59;70,59;66,67;43,14;35,59
L;6684-8672;1684345709;17.05.23;20:48:29;1988;6:11:25;buy_ascent;final_sell;112,27;118,18;+5,26;+6,00;6684-8671;7323;7,28;6685;-0,00;0,58;1,17;1,38;1,55;2,49;3,34;0,12;0,09;0,06;0,05;0,04;0,03;93,55;87,80;84,09;84,44;93,48;85,71;56,86;70,59;72,55;74,51;84,31;82,35;58,03
S;6647-7241;1684431651;18.05.23;20:40:51;594;1:49:59;buy_ascent;sell_step_base;112,27;115,61;+2,98;+3,70;6647-7321;6742;4,34;6652;-0,21;1,19;1,27;1,27;1,36;1,13;1,51;0,24;0,10;0,06;0,05;0,02;0,01;100,00;97,37;90,00;92,50;85,37;88,64;70,59;72,55;70,59;72,55;68,63;76,47;36,68
